,names,scores,pvals,pvals_adj
5947,MFGE8,-4.1655397,3.11E-05,0.06212335384
5948,C3,-4.2622466,2.02E-05,0.04047639181
5949,FSTL1,-4.2701087,1.95E-05,0.03907555186
5950,CLU,-4.379525,1.19E-05,0.0237876208
5951,COL1A1,-4.430551,9.40E-06,0.01879850485
5952,PDGFRB,-4.4316077,9.35E-06,0.01870660882
5953,RGS5,-4.44612,8.74E-06,0.01748702336
5954,HIST1H4C,-4.4738083,7.68E-06,0.01536773203
5955,NDUFA4L2,-4.539253,5.65E-06,0.01129076649
5956,NOVA1,-4.5669723,4.95E-06,0.009896381208
5957,MMP2,-4.5925164,4.38E-06,0.008758659531
5958,APOE,-4.7187448,2.37E-06,0.004746082743
5959,LRP1,-4.776918,1.78E-06,0.003560043316
5960,SAT1,-4.8492618,1.24E-06,0.002478435357
5961,APOC1,-4.8622513,1.16E-06,0.002321162323
5962,CPE,-4.91191,9.02E-07,0.001803869753
5963,FBLN1,-4.939505,7.83E-07,0.00156642331
5964,FBN1,-4.9710155,6.66E-07,0.001332062949
5965,NOTCH3,-4.9830728,6.26E-07,0.001251648432
5966,CHRDL1,-5.02577,5.01E-07,0.001002831146
5967,LUM,-5.436215,5.44E-08,0.0001088486085
5968,TAGLN,-5.5945444,2.21E-08,4.42E-05
5969,COL6A1,-5.67186,1.41E-08,2.83E-05
5970,PTGDS,-5.8037443,6.49E-09,1.30E-05
5971,COL6A3,-5.988115,2.12E-09,4.25E-06
5972,MFAP5,-6.043305,1.51E-09,3.02E-06
5973,ACTB,-6.087774,1.14E-09,2.29E-06
5974,C1S,-6.3965707,1.59E-10,3.18E-07
5975,MT1X,-6.4529104,1.10E-10,2.19E-07
5976,APOD,-6.4965715,8.22E-11,1.64E-07
5977,FBLN2,-6.5400147,6.15E-11,1.23E-07
5978,LTBP4,-6.8139763,9.49E-12,1.90E-08
5979,ABCA8,-6.9125476,4.76E-12,9.52E-09
5980,FN1,-7.272805,3.52E-13,7.04E-10
5981,COL6A2,-7.2994366,2.89E-13,5.78E-10
5982,IGFBP6,-7.6539764,1.95E-14,3.90E-11
5983,PMP22,-7.695183,1.41E-14,2.83E-11
5984,CCDC80,-7.864575,3.70E-15,7.41E-12
5985,COL3A1,-8.529683,1.47E-17,2.93E-14
5986,CXCL14,-8.725769,2.64E-18,5.29E-15
5987,JUN,-8.79199,1.47E-18,2.94E-15
5988,COL1A2,-8.973067,2.88E-19,5.77E-16
5989,CFD,-9.054174,1.38E-19,2.75E-16
5990,DCN,-9.377639,6.75E-21,1.35E-17
5991,FOS,-9.466794,2.89E-21,5.77E-18
5992,DSTN,-9.600978,7.92E-22,1.58E-18
5993,ADIRF,-9.733172,2.18E-22,4.35E-19
5994,JUNB,-11.018392,3.12E-28,6.23E-25
5995,MGP,-11.06025,1.96E-28,3.91E-25
5996,FTL,-11.062052,1.92E-28,3.83E-25
5997,IGFBP5,-12.332727,6.04E-35,1.21E-31
5998,RPL34,-13.899707,6.36E-44,1.27E-40
5999,S100A4,-17.867172,2.12E-71,4.25E-68
6000,FABP4,19.09194,2.95E-81,5.89E-78
6001,IFI27,16.873146,7.09E-64,1.42E-60
6002,CAV1,16.427576,1.21E-60,2.43E-57
6003,RNASE1,15.850392,1.40E-56,2.79E-53
6004,A2M,14.175146,1.31E-45,2.61E-42
6005,FABP5,13.85249,1.23E-43,2.46E-40
6006,SLC9A3R2,13.6838455,1.27E-42,2.54E-39
6007,CD74,12.097215,1.09E-33,2.19E-30
6008,GNG11,11.617815,3.35E-31,6.69E-28
6009,SRGN,10.980579,4.74E-28,9.48E-25
6010,BTNL9,10.49798,8.82E-26,1.76E-22
6011,HLA-DRB1,10.394264,2.63E-25,5.27E-22
6012,CD36,10.358132,3.84E-25,7.69E-22
6013,ID3,10.131972,3.99E-24,7.97E-21
6014,HLA-DRA,9.872411,5.48E-23,1.10E-19
6015,LAP3,9.787503,1.27E-22,2.55E-19
6016,TNFSF10,9.544175,1.37E-21,2.74E-18
6017,PODXL,9.413536,4.80E-21,9.59E-18
6018,VWF,9.328121,1.08E-20,2.16E-17
6019,C10orf10,8.285312,1.18E-16,2.36E-13
6020,PTPRB,8.000661,1.24E-15,2.48E-12
6021,ANXA3,7.605544,2.84E-14,5.67E-11
6022,EMCN,7.415556,1.21E-13,2.42E-10
6023,SLC14A1,7.276684,3.42E-13,6.84E-10
6024,ISG15,7.2281427,4.90E-13,9.79E-10
6025,EGFL7,7.119355,1.08E-12,2.17E-09
6026,PIK3R3,6.8217883,8.99E-12,1.80E-08
6027,RGCC,6.5916486,4.35E-11,8.70E-08
6028,NEAT1,6.534523,6.38E-11,1.28E-07
6029,CLDN5,6.5127892,7.38E-11,1.48E-07
6030,F8,6.0884857,1.14E-09,2.28E-06
6031,C19orf33,6.077599,1.22E-09,2.44E-06
6032,LIFR,5.9828973,2.19E-09,4.38E-06
6033,CDH5,5.8853083,3.97E-09,7.95E-06
6034,ENG,5.7821007,7.38E-09,1.48E-05
6035,CYYR1,5.4653363,4.62E-08,9.24E-05
6036,IFI44L,5.447894,5.10E-08,0.0001019392712
6037,CD93,5.4424314,5.26E-08,0.000105116356
6038,WARS,5.3514757,8.72E-08,0.0001744795475
6039,NOTCH4,5.324474,1.01E-07,0.0002024911329
6040,TIE1,5.169799,2.34E-07,0.0004686924488
6041,RBP7,5.1455283,2.67E-07,0.000533537931
6042,EFNB2,5.0401354,4.65E-07,0.0009304057249
6043,SOX17,4.9377856,7.90E-07,0.001580290933
6044,IFI6,4.82853,1.38E-06,0.002750894595
6045,SEMA3G,4.824784,1.40E-06,0.002803102732
6046,LDB2,4.7890024,1.68E-06,0.003352246617
6047,AMD1,4.7282095,2.27E-06,0.004530170036
6048,MLLT4,4.39412,1.11E-05,0.02224445541
6049,SOX18,3.8332076,0.0001264830788,0.2529661577
6050,PARP14,3.8059328,0.0001412707918,0.2825415836
6051,TMEM204,3.722937,0.0001969185387,0.3938370773
6052,SLC6A6,3.7175915,0.0002011312057,0.4022624115
6053,GIMAP5,3.5886304,0.0003324198018,0.6648396037
6054,ITGA1,3.5562048,0.0003762509408,0.7525018817
6055,TNNT3,3.5093026,0.0004492833051,0.8985666101
6056,RUNX1T1,3.4906902,0.0004817746723,0.9635493446
6057,LNX1,3.4791403,0.0005030253224,1
6058,KIF25,3.4743407,0.0005121102413,1
6059,ABLIM3,3.4343843,0.0005939016066,1
6060,IFIT3,3.3995783,0.0006748982006,1
6061,HMCN1,3.351857,0.000802714772,1
6062,LRRC32,3.348033,0.0008138731538,1
6063,SORBS2,3.2938733,0.0009881704554,1
6064,GATA2,3.2609794,0.001110281079,1
6065,SOX7,3.1950746,0.001397946931,1
6066,C1QTNF9,3.1502798,0.001631142446,1
6067,XAF1,3.1364276,0.001710196813,1
6068,MECOM,3.0764928,0.002094513345,1
6069,ELK3,3.0276787,0.002464398606,1
6070,ADAM15,2.996619,0.002729917567,1
6071,HECW2,2.9868639,0.002818551707,1
6072,RP11-536O18.1,2.9854982,0.002831168049,1
6073,GFOD1,2.88787,0.003878599395,1
6074,ICA1,2.8858411,0.003903691674,1
6075,CXCL2,2.8843973,0.00392163548,1
6076,HRCT1,2.7950416,0.005189304008,1
6077,CXorf36,2.786184,0.005333258215,1
6078,CTNND1,2.7804482,0.005428393566,1
6079,FAM107A,2.7344046,0.00624932201,1
6080,DOCK9,2.713724,0.006653159077,1
6081,ACE,2.6819615,0.007319185557,1
6082,SULF2,2.614106,0.008946131728,1
6083,APOL3,2.6129742,0.008975806086,1
6084,TBX3,2.5827727,0.00980098472,1
6085,NEBL,2.5806267,0.009862116415,1
6086,MIER2,2.520536,0.01171762896,1
6087,SHE,2.5025866,0.01232894291,1
6088,GBP4,2.4968898,0.01252878971,1
6089,CD300LG,2.344946,0.01902984121,1
6090,HIF3A,2.3115447,0.02080278334,1
6091,NUMB,2.2987072,0.02152157206,1
6092,KIAA0355,2.2736564,0.02298665662,1
6093,PLLP,2.2712762,0.02313026736,1
6094,MX1,2.2463033,0.02468458546,1
6095,RNF125,2.22812,0.0258725133,1
6096,AIF1L,2.2152433,0.02674336178,1
6097,PTPRM,2.2088442,0.02718548438,1
6098,CSGALNACT1,2.1912072,0.02843680977,1
6099,JAG2,2.1891,0.02858957181,1
6100,CTD-2135D7.5,2.1572988,0.03098239742,1
6101,S1PR1,2.1538649,0.03125076432,1
6102,IFIT1,2.113167,0.03458646892,1
6103,RNF144B,2.09912,0.03580633339,1
6104,ANKRD29,2.0910819,0.03652073445,1
6105,IGF1R,2.0885844,0.03674514242,1
6106,FZD6,2.07005,0.03844766321,1
6107,SSFA2,2.0574465,0.03964329308,1
6108,RP11-782C8.5,2.0275183,0.04260944587,1
6109,PCGF2,2.0050817,0.04495431431,1
6110,ARHGEF15,1.9726561,0.04853475982,1
6111,FRY,1.9682858,0.04903515906,1
6112,GPRC5B,1.9661788,0.04927796587,1
6113,SOS1,1.919706,0.05489505431,1
6114,CMTM8,1.9113556,0.05595889149,1
6115,CDKN1C,1.9028102,0.05706530612,1
6116,ATP2B4,1.8842758,0.05952768255,1
6117,PRKCH,1.8239899,0.06815360294,1
6118,RIN2,1.7857503,0.07413970105,1
6119,YES1,1.7768928,0.07558588981,1
6120,RAPGEF1,1.7714299,0.07648923418,1
6121,SYNE1,1.7713909,0.07649571817,1
6122,GPIHBP1,1.7533246,0.07954629562,1
6123,SHANK3,1.730654,0.08351348775,1
6124,HLA-DMB,1.7250352,0.08452113698,1
6125,DACH1,1.7099345,0.08727800128,1
6126,TGM2,1.6846105,0.09206375636,1
6127,MAST4,1.675987,0.09374073566,1
6128,MYO10,1.675948,0.09374837911,1
6129,EFCAB14,1.6747774,0.09397791522,1
6130,RSAD2,1.6742312,0.09408518619,1
6131,TIMP4,1.6714997,0.09462301452,1
6132,CTTNBP2NL,1.6651394,0.09588493629,1
6133,CALCRL,1.6539798,0.09813162978,1
6134,IDO1,1.6141794,0.1064885324,1
6135,CCDC85A,1.6050097,0.1084916836,1
6136,CARD8,1.5836266,0.1132786992,1
